pool,field0_hex,candidate_rank,xml_tag,files_tested,both_nonzero,nonzero_exact,all_file_exact_rate,pearson,score
details,0x0422,3,beamExtendDownStem,324,57,3,0.7130,0.812364,1.675327
details,0x0423,1,measOssiaAssign,324,4,0,0.7500,0.524600,1.274600
details,0x0423,2,beamExtendDownStem,324,29,0,0.6543,0.531231,1.185552
details,0x0423,3,stemDefUp,324,28,0,0.6667,0.513007,1.179674
details,0x0424,1,perfData,324,57,16,0.8735,0.992656,2.666113
details,0x0424,2,midiExprs,324,3,0,0.8241,0.609934,1.434008
details,0x0424,3,noteAlter,324,51,8,0.7191,0.300928,1.420064
details,0x0425,1,secBeamBreak,324,47,47,1.0000,1.000000,3.000000
details,0x0425,2,dotOffset,324,33,6,0.8395,0.260451,1.399957
details,0x0425,3,beamExtendDownStem,324,38,2,0.7932,0.485719,1.378929
details,0x0426,1,shapeNote,324,140,0,0.5679,0.999502,1.567403
details,0x0426,2,shapeNoteStyle,324,140,0,0.5370,0.992874,1.529911
details,0x0426,3,baselinesFingerboards,324,140,0,0.5525,0.968682,1.521151
details,0x0427,1,shapeNoteStyle,324,150,0,0.5370,0.999986,1.537023
details,0x0427,2,shapeNote,324,140,0,0.5370,0.993497,1.530534
details,0x0427,3,baselinesFingerboards,324,145,0,0.5370,0.978706,1.515743
details,0x0428,1,smartShapeEntryMark,324,168,66,0.6852,0.983419,2.668604
details,0x0428,2,beamAltPrimDownStem,324,121,2,0.4475,0.922494,1.470025
details,0x0428,3,beamAltPrimUpStem,324,120,0,0.4383,0.900476,1.338748
details,0x0429,1,lyrDataVerse,324,20,2,0.8611,0.418506,1.379617
details,0x0429,2,baselinesSysLyricsVerse,324,6,0,0.8673,0.185760,1.053044
details,0x0429,3,lyricEntryInfo,324,4,0,0.8981,0.046539,0.944687
details,0x042a,1,stemAdjust,324,119,118,0.9969,0.999998,2.996911
details,0x042a,2,tieAlterEnd,324,109,6,0.6265,0.581231,1.507775
details,0x042a,3,tieAlterStart,324,111,3,0.6080,0.645531,1.403556
details,0x042b,1,stemDefDown,324,46,46,1.0000,1.000000,3.000000
details,0x042b,2,stemDefUp,324,40,24,0.8858,0.981294,2.867096
details,0x042b,3,beamExtendDownStem,324,39,5,0.8086,0.809636,1.868278
details,0x042c,1,stemDefUp,324,55,55,1.0000,1.000000,3.000000
details,0x042c,2,stemDefDown,324,40,24,0.8858,0.981294,2.867096
details,0x042c,3,beamExtendDownStem,324,41,4,0.7840,0.824846,1.808796
details,0x042e,1,tieAlterEnd,324,117,54,0.8056,0.996862,2.802417
details,0x042e,2,tieAlterStart,324,116,7,0.6420,0.933619,1.925595
details,0x042e,3,beamAltPrimDownStem,324,115,1,0.5833,0.842141,1.475475
details,0x042f,1,tieAlterStart,324,122,57,0.7994,0.997904,2.797286
details,0x042f,2,tieAlterEnd,324,116,12,0.6574,0.960305,2.217713
details,0x042f,3,beamAltPrimUpStem,324,118,4,0.5864,0.730905,1.517324
details,0x0430,1,tupletDef,324,158,148,0.9691,0.999982,2.969117
details,0x0430,2,beamExtendDownStem,324,58,3,0.5154,0.745095,1.410527
details,0x0430,3,beamAltPrimDownStem,324,112,4,0.4568,0.748093,1.404883
details,0x0443,1,baselinesSysChords,324,6,6,1.0000,1.000000,2.300000
details,0x0443,2,chordAssign,324,5,0,0.9722,0.764895,1.737118
details,0x0443,3,percussionNoteCode,324,3,0,0.9352,0.439007,1.374192
details,0x0444,1,baselinesSysExprAboveStaff,324,43,43,1.0000,1.000000,3.000000
details,0x0444,2,dotOffset,324,20,2,0.7994,0.511975,1.411358
details,0x0444,3,baselinesSysExprBelowStaff,324,9,0,0.8673,0.368675,1.235959
details,0x0445,1,baselinesSysExprBelowStaff,324,9,9,1.0000,1.000000,2.450000
details,0x0445,2,baselinesSysExprAboveStaff,324,9,0,0.8673,0.368675,1.235959
details,0x0445,3,entrySize,324,6,0,0.8889,0.269237,1.158126
details,0x0449,1,baselinesSysLyricsVerse,324,29,27,0.9938,0.967840,2.961667
details,0x0449,2,lyrDataVerse,324,27,0,0.8488,0.847448,1.696214
details,0x0449,3,lyricEntryInfo,324,12,1,0.8981,0.326398,1.274546
details,0x0451,1,percussionNoteCode,324,10,6,0.9630,0.293897,1.556860
details,0x0451,2,baselinesSysLyricsVerse,324,3,0,0.8889,0.088475,0.977364
details,0x0451,3,stemDefDown,324,4,2,0.8457,0.009289,0.954968
details,0x0454,1,lyrDataVerse,324,26,24,0.9290,0.847467,2.776479
details,0x0454,2,baselinesSysLyricsVerse,324,20,0,0.8920,0.743196,1.635172
details,0x0454,3,lyricEntryInfo,324,13,0,0.9074,0.433508,1.340915
details,0x0455,1,activeLyric,324,153,153,1.0000,1.000000,3.000000
details,0x0455,2,shapeNote,324,140,140,0.9599,0.922162,2.882039
details,0x0455,3,baselinesFingerboards,324,141,141,0.9506,0.901769,2.852386
others,0x0073,1,acciOrderSharps,375,3,3,1.0000,1.000000,2.150000
others,0x0073,2,acciAmountSharps,375,3,3,1.0000,1.000000,2.150000
others,0x0073,3,keyMap,375,3,2,0.9973,0.554866,1.652199
others,0x0075,1,acciOrderSharps,375,3,3,1.0000,1.000000,2.150000
others,0x0075,2,acciAmountSharps,375,3,3,1.0000,1.000000,2.150000
others,0x0075,3,keyMap,375,3,2,0.9973,0.554866,1.652199
others,0x0076,1,ossiaMusic,375,9,9,1.0000,1.000000,2.450000
others,0x0076,2,ossiaHeader,375,9,9,1.0000,1.000000,2.450000
others,0x0076,3,ossiaBounds,375,9,9,1.0000,1.000000,2.450000
others,0x0077,1,ossiaMusic,375,9,9,1.0000,1.000000,2.450000
others,0x0077,2,ossiaHeader,375,9,9,1.0000,1.000000,2.450000
others,0x0077,3,ossiaBounds,375,9,9,1.0000,1.000000,2.450000
others,0x0078,1,ossiaMusic,375,9,9,1.0000,1.000000,2.450000
others,0x0078,2,ossiaHeader,375,9,9,1.0000,1.000000,2.450000
others,0x0078,3,ossiaBounds,375,9,9,1.0000,1.000000,2.450000
others,0x0079,1,articDef,375,371,349,0.9413,0.412670,2.354004
